facility_id,component_id,material,kg_per_plant,mass fraction
Solar PV - c-Si UPV,cabling,copper,313563.36,0.016380928
Solar PV - c-Si UPV,cabling,thermoplastic,126436.64,0.006605203
Solar PV - c-Si UPV,inverter,acetone,0.7927,4.14116E-08
Solar PV - c-Si UPV,inverter,alkyl amines,6.1686,3.22255E-07
Solar PV - c-Si UPV,inverter,aluminum,20589.0896,0.001075599
Solar PV - c-Si UPV,inverter,aluminum oxide,3.0224,1.57894E-07
Solar PV - c-Si UPV,inverter,ammonia,0.3303,1.72553E-08
Solar PV - c-Si UPV,inverter,argon,2.4361,1.27265E-07
Solar PV - c-Si UPV,inverter,chlorine,0.0083,4.33602E-10
Solar PV - c-Si UPV,inverter,chromium,107.5069,5.61629E-06
Solar PV - c-Si UPV,inverter,cobalt,3.641,1.9021E-07
Solar PV - c-Si UPV,inverter,copper,57372.4514,0.002997206
Solar PV - c-Si UPV,inverter,dysprosium,0.0001,5.22412E-12
Solar PV - c-Si UPV,inverter,epoxy,1260.4788,6.58489E-05
Solar PV - c-Si UPV,inverter,ethanolamines,2.0314,1.06123E-07
Solar PV - c-Si UPV,inverter,gallium,0.0436,2.27772E-09
Solar PV - c-Si UPV,inverter,glass,1.9158,1.00084E-07
Solar PV - c-Si UPV,inverter,glass reinforced plastic,11095.1715,0.000579625
Solar PV - c-Si UPV,inverter,gold,0.0495,2.58594E-09
Solar PV - c-Si UPV,inverter,helium,0.2395,1.25118E-08
Solar PV - c-Si UPV,inverter,hexafluoroethane,0.0743,3.88152E-09
Solar PV - c-Si UPV,inverter,hexamethyldisilazane,0.033,1.72396E-09
Solar PV - c-Si UPV,inverter,hydrochloric acid,3.8399,2.00601E-07
Solar PV - c-Si UPV,inverter,hydrogen,0.3303,1.72553E-08
Solar PV - c-Si UPV,inverter,hydrogen fluoride,0.3716,1.94128E-08
Solar PV - c-Si UPV,inverter,iron,11.2389,5.87134E-07
Solar PV - c-Si UPV,inverter,isopropanol,2.8902,1.50988E-07
Solar PV - c-Si UPV,inverter,lead,2.081,1.08714E-07
Solar PV - c-Si UPV,inverter,lime,0.0165,8.6198E-10
